question_id,category,ground_truth_overall,baseline_overall,enhanced_overall,baseline_gap,enhanced_gap,enhanced_improvement,ground_truth_sql,baseline_sql,enhanced_sql,ground_truth_tables,baseline_tables,enhanced_tables,ground_truth_methodology,baseline_methodology,enhanced_methodology
Complex_13,Complex,100.0,90.62885657031305,96.70571955719558,9.371143429686953,3.2942804428044212,6.0768629868825315,100.0,97.73062730627306,97.73062730627306,100.0,100.0,100.0,100.0,72.22222222222221,95.0
Complex_26,Complex,100.0,77.42398848441852,80.36602870813397,22.576011515581484,19.633971291866033,2.942040223715452,100.0,53.9869238736406,59.617224880382764,100.0,93.33333333333333,100.0,100.0,85.0,85.0
Complex_32,Complex,100.0,85.44072316352357,86.47694903797637,14.559276836476428,13.523050962023632,1.0362258744527963,100.0,86.1580547112462,76.68738686175068,100.0,80.0,94.54545454545455,100.0,90.0,90.0
Complex_18,Complex,100.0,82.77918399024081,89.7657114624506,17.22081600975919,10.234288537549403,6.9865274722097865,100.0,83.53857566765578,82.18774703557312,100.0,88.0,100.0,100.0,75.0,90.0
Complex_1,Complex,100.0,83.72918970384168,87.63643344709898,16.270810296158317,12.36356655290102,3.907243743257297,100.0,68.99746008708273,76.10409556313994,100.0,100.0,100.0,100.0,85.0,90.0
Complex_7,Complex,100.0,99.13987170938236,98.98432835820896,0.860128290617638,1.0156716417910445,-0.15554335117340656,100.0,99.95522388059702,99.95522388059702,100.0,100.0,100.0,100.0,100.0,100.0
Complex_33,Complex,100.0,91.18325897686516,89.73134328358208,8.816741023134838,10.268656716417922,-1.451915693283084,100.0,82.08955223880596,82.08955223880596,100.0,100.0,100.0,100.0,95.0,90.0
Complex_23,Complex,100.0,87.70746002494228,87.71711076280042,12.292539975057721,12.282889237199583,0.009650737858137859,100.0,75.96975088967972,72.52507836990596,100.0,100.0,93.33333333333333,100.0,90.0,100.0
Complex_9,Complex,100.0,83.22066963215902,80.09631147540983,16.779330367840984,19.903688524590166,-3.1243581567491816,100.0,82.41803278688525,82.41803278688525,100.0,91.42857142857143,85.0,100.0,75.0,70.0
Complex_19,Complex,100.0,70.76735330032218,75.63164791120703,29.232646699677815,24.368352088792975,4.864294610884841,100.0,61.9705694177863,68.8376753507014,100.0,76.0,86.15384615384616,100.0,70.0,70.0
